treatment,F_ppm,D_ppm,aquarium,t_exp_G42,t_exp_G46,wetmass_G42_mg,wetmass_G46_mg,drymass_G42_mg,drymass_G46_mg
B. 10F,10,0.0,12,13.0,20.0,255,166,14.280000000000012,26.062000000000005
B. 10F,10,0.0,12,13.0,20.0,245,175,13.720000000000013,27.475000000000005
B. 10F,10,0.0,12,14.0,20.0,312,181,17.472000000000016,28.417000000000005
B. 10F,10,0.0,12,14.0,20.0,300,199,16.800000000000015,31.243000000000006
B. 10F,10,0.0,12,14.0,24.0,241,155,13.496000000000013,24.335000000000004
B. 10F,10,0.0,12,17.0,24.0,208,138,11.64800000000001,21.666000000000004
B. 10F,10,0.0,24,9.0,,228,,12.768000000000011,
B. 10F,10,0.0,24,11.0,17.0,214,136,11.98400000000001,21.352000000000004
B. 10F,10,0.0,24,11.0,,258,,14.448000000000013,
B. 10F,10,0.0,24,11.0,17.0,215,147,12.04000000000001,23.079000000000004
B. 10F,10,0.0,24,11.0,,254,,14.224000000000013,
B. 10F,10,0.0,24,12.0,,227,,12.71200000000001,
B. 10F,10,0.0,24,12.0,20.0,196,138,10.97600000000001,21.666000000000004
B. 10F,10,0.0,24,13.0,20.0,249,152,13.944000000000013,23.864000000000004
B. 10F,10,0.0,24,14.0,,220,,12.320000000000011,
B. 10F,10,0.0,24,14.0,,299,,16.744000000000014,
B. 10F,10,0.0,36,12.0,,242,,13.552000000000012,
B. 10F,10,0.0,36,12.0,18.0,292,175,16.352000000000015,27.475000000000005
B. 10F,10,0.0,36,13.0,,292,,16.352000000000015,
B. 10F,10,0.0,36,15.0,20.0,292,201,16.352000000000015,31.557000000000006
B. 10F,10,0.0,36,15.0,20.0,200,178,11.20000000000001,27.946000000000005
B. 10F,10,0.0,36,15.0,25.0,244,146,13.664000000000012,22.922000000000004
B. 10F,10,0.0,36,17.0,,276,,15.456000000000014,
B. 10F,10,0.0,36,18.0,,316,,17.696000000000016,
B. 10F,10,0.0,36,,,,,,
B. 10F,10,0.0,36,,,,,,
C. 100F,100,0.0,1,11.0,,231,,12.93600000000001,
C. 100F,100,0.0,1,11.0,,226,,12.656000000000011,
C. 100F,100,0.0,1,11.0,,285,,15.960000000000015,
C. 100F,100,0.0,1,12.0,18.0,236,144,13.216000000000012,22.608000000000004
C. 100F,100,0.0,1,13.0,,247,,13.832000000000011,
C. 100F,100,0.0,1,13.0,,317,,17.752000000000017,
C. 100F,100,0.0,1,15.0,25.0,188,116,10.52800000000001,18.212000000000003
C. 100F,100,0.0,1,17.0,24.0,246,158,13.776000000000012,24.806000000000004
C. 100F,100,0.0,1,17.0,24.0,192,119,10.75200000000001,18.683000000000003
C. 100F,100,0.0,1,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,13,,,,,,
C. 100F,100,0.0,25,11.0,,307,,17.192000000000014,
C. 100F,100,0.0,25,11.0,,142,,7.952000000000007,
C. 100F,100,0.0,25,11.0,,287,,16.072000000000013,
C. 100F,100,0.0,25,11.0,,193,,10.80800000000001,
C. 100F,100,0.0,25,11.0,,151,,8.456000000000007,
C. 100F,100,0.0,25,11.0,,223,,12.48800000000001,
C. 100F,100,0.0,25,12.0,,297,,16.632000000000016,
C. 100F,100,0.0,25,12.0,18.0,160,89,8.960000000000008,13.973000000000003
C. 100F,100,0.0,25,12.0,18.0,172,113,9.632000000000009,17.741000000000003
C. 100F,100,0.0,25,18.0,22.0,135,84,7.560000000000007,13.188000000000002
D. 0.03D,0,0.03,7,11.0,,278,,15.568000000000014,
D. 0.03D,0,0.03,7,11.0,,204,,11.42400000000001,
D. 0.03D,0,0.03,7,11.0,,203,,11.36800000000001,
D. 0.03D,0,0.03,7,12.0,,182,,10.192000000000009,
D. 0.03D,0,0.03,7,12.0,18.0,166,111,9.296000000000008,17.427000000000003
D. 0.03D,0,0.03,7,13.0,,228,,12.768000000000011,
D. 0.03D,0,0.03,7,13.0,,176,,9.856000000000009,
D. 0.03D,0,0.03,7,12.0,,191,,10.696000000000009,
D. 0.03D,0,0.03,7,15.0,,298,,16.688000000000017,
D. 0.03D,0,0.03,7,18.0,25.0,332,203,18.592000000000017,31.871000000000006
D. 0.03D,0,0.03,19,11.0,,264,,14.784000000000013,
D. 0.03D,0,0.03,19,11.0,,222,,12.432000000000011,
D. 0.03D,0,0.03,19,11.0,,216,,12.09600000000001,
D. 0.03D,0,0.03,19,12.0,,272,,15.232000000000014,
D. 0.03D,0,0.03,19,13.0,,311,,17.416000000000015,
D. 0.03D,0,0.03,19,13.0,,201,,11.25600000000001,
D. 0.03D,0,0.03,19,13.0,,240,,13.440000000000012,
D. 0.03D,0,0.03,19,13.0,20.0,244,197,13.664000000000012,30.929000000000006
D. 0.03D,0,0.03,19,14.0,,323,,18.088000000000015,
D. 0.03D,0,0.03,19,15.0,25.0,218,135,12.20800000000001,21.195000000000004
D. 0.03D,0,0.03,31,12.0,18.0,217,143,12.152000000000012,22.451000000000004
D. 0.03D,0,0.03,31,12.0,,232,,12.992000000000012,
D. 0.03D,0,0.03,31,13.0,,251,,14.056000000000012,
D. 0.03D,0,0.03,31,14.0,20.0,288,197,16.128000000000014,30.929000000000006
D. 0.03D,0,0.03,31,14.0,,235,,13.16000000000001,
D. 0.03D,0,0.03,31,14.0,25.0,298,135,16.688000000000017,21.195000000000004
D. 0.03D,0,0.03,31,14.0,18.0,199,130,11.144000000000009,20.410000000000004
D. 0.03D,0,0.03,31,15.0,,217,,12.152000000000012,
D. 0.03D,0,0.03,31,15.0,,203,,11.36800000000001,
D. 0.03D,0,0.03,31,15.0,24.0,285,189,15.960000000000015,29.673000000000005
E. 0.3D,0,0.3,8,7.0,12.0,235,223,13.16000000000001,35.01100000000001
E. 0.3D,0,0.3,8,11.0,,231,,12.93600000000001,
E. 0.3D,0,0.3,8,11.0,18.0,205,132,11.480000000000011,20.724000000000004
E. 0.3D,0,0.3,8,12.0,20.0,164,99,9.184000000000008,15.543000000000003
E. 0.3D,0,0.3,8,12.0,20.0,279,213,15.624000000000013,33.441
E. 0.3D,0,0.3,8,12.0,,203,,11.36800000000001,
E. 0.3D,0,0.3,8,13.0,,171,,9.576000000000008,
E. 0.3D,0,0.3,8,13.0,,193,,10.80800000000001,
E. 0.3D,0,0.3,8,14.0,,204,,11.42400000000001,
E. 0.3D,0,0.3,8,15.0,,234,,13.104000000000012,
E. 0.3D,0,0.3,20,9.0,17.0,299,195,16.744000000000014,30.615000000000006
E. 0.3D,0,0.3,20,11.0,17.0,221,146,12.376000000000012,22.922000000000004
E. 0.3D,0,0.3,20,11.0,17.0,208,144,11.64800000000001,22.608000000000004
