C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,30.6,58.3,27.7,231.0152819297213,357.36634486440977,97
0.03,Inf,Inf,NaN,Inf,Inf,97
0.3,Inf,Inf,NaN,Inf,Inf,97
0.0,31.3,58.1,26.8,226.12288741118806,330.7075180052142,98
0.03,Inf,Inf,NaN,Inf,Inf,98
0.3,Inf,Inf,NaN,Inf,Inf,98
0.0,31.4,60.3,28.9,221.0803613610727,335.48043396385594,99
0.03,Inf,Inf,NaN,Inf,Inf,99
0.3,Inf,Inf,NaN,Inf,Inf,99
0.0,31.5,58.1,26.6,225.19013390009687,325.93381354814176,100
0.03,Inf,Inf,NaN,Inf,Inf,100
0.3,Inf,Inf,NaN,Inf,Inf,100
