t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
16.0,1,1.0,194.0343026857757,0.0,9
16.0,2,0.8009628336498785,155.4142649044772,0.03,9
16.0,3,0.8526742624367281,165.44805593001863,0.3,9
26.0,1,1.0000000000000002,213.4923940986268,0.0,9
26.0,2,1.138362845630538,243.03180926658905,0.03,9
26.0,3,1.1144420222372309,237.92489541154146,0.3,9
16.0,1,1.0,194.70316109717268,0.0,10
16.0,2,0.8583928219784106,167.1317959023191,0.03,10
16.0,3,0.7436509156167534,144.79118402338875,0.3,10
26.0,1,1.0000000000000002,238.3301145136149,0.0,10
26.0,2,0.9883598700820938,235.55592101732697,0.03,10
26.0,3,0.9941933794360516,236.94622196967197,0.3,10
16.0,1,0.9999999999999998,171.41610709236585,0.0,11
16.0,2,0.9630920075544583,165.08948270675666,0.03,11
16.0,3,0.9582591068987725,164.26104569039484,0.3,11
26.0,1,1.0,221.12844195066873,0.0,11
26.0,2,1.157395192130335,255.93299555697587,0.03,11
26.0,3,1.0392885829164913,229.81626507744213,0.3,11
16.0,1,1.0,223.5810562568202,0.0,12
16.0,2,0.781044823484222,174.62682661852403,0.03,12
16.0,3,0.8112440998911348,181.37881273577327,0.3,12
26.0,1,1.0,197.71812593440825,0.0,12
26.0,2,1.0769982121536354,212.94206814172503,0.03,12
26.0,3,1.0451743685581478,206.64991742599545,0.3,12
16.0,1,1.0000000000000002,196.20035449824076,0.0,13
16.0,2,1.1020871001838088,216.22987974400144,0.03,13
16.0,3,0.966200993995044,189.5689775383802,0.3,13
26.0,1,1.0,209.86581262287095,0.0,13
26.0,2,0.9700520155529052,203.5807545304643,0.03,13
26.0,3,1.0036744772438184,210.6369597756092,0.3,13
16.0,1,1.0,187.75421561519266,0.0,14
16.0,2,0.9706520248513673,182.24400956126698,0.03,14
16.0,3,0.8382474022009019,157.38448349170326,0.3,14
26.0,1,1.0,216.18441398192445,0.0,14
26.0,2,1.1114799648602625,240.28464485596584,0.03,14
26.0,3,1.2964015673953653,280.2618131326154,0.3,14
16.0,1,1.0,189.64506697137057,0.0,15
16.0,2,0.915741084120153,173.6657792264019,0.03,15
16.0,3,1.0051859740690194,190.62856137100155,0.3,15
26.0,1,1.0000000000000002,243.0329471267315,0.0,15
26.0,2,1.0044201736850327,244.10719496421697,0.03,15
26.0,3,0.9244034551849465,224.66049604773102,0.3,15
16.0,1,1.0,185.8624134081033,0.0,16
16.0,2,0.9793194588349241,182.0186781165767,0.03,16
16.0,3,0.9316094828732885,173.15118684070444,0.3,16
26.0,1,1.0,220.25588915500015,0.0,16
26.0,2,1.0756551855559313,236.91938931880833,0.03,16
26.0,3,1.1658353803465211,256.78210830658077,0.3,16
16.0,1,1.0,199.36742405949184,0.0,17
16.0,2,1.0061364823868517,200.5908387457449,0.03,17
16.0,3,0.9483983769710764,189.0797413989264,0.3,17
26.0,1,0.9999999999999998,203.78131425711683,0.0,17
26.0,2,0.9317702972859063,189.87737576666646,0.03,17
26.0,3,1.1426957050090656,232.86003256271002,0.3,17
16.0,1,0.9999999999999998,158.3901557358589,0.0,18
16.0,2,1.068091510660651,169.1751807136893,0.03,18
16.0,3,1.0328304049388637,163.59016868699683,0.3,18
26.0,1,1.0000000000000004,252.94006153631238,0.0,18
26.0,2,0.8946979670771125,226.30495884889837,0.03,18
26.0,3,0.9686582367233629,245.0124740044633,0.3,18
16.0,1,0.9999999999999998,184.43476339450058,0.0,19
16.0,2,1.0265600338598997,189.3333569552011,0.03,19
16.0,3,0.9735305163627561,179.5528704426909,0.3,19
26.0,1,0.9999999999999998,210.39309944666556,0.0,19
26.0,2,1.119720725970422,235.5815140515876,0.03,19
26.0,3,1.091938768715184,229.73638195596328,0.3,19
16.0,1,0.9999999999999998,180.2909868901691,0.0,20
16.0,2,0.8747656288971605,157.7123585314685,0.03,20
16.0,3,0.897998323046099,161.9010038876981,0.3,20
26.0,1,1.0,233.09211703017348,0.0,20
26.0,2,1.041729564659169,242.8189495993267,0.03,20
26.0,3,0.9967280112261712,232.32944223998274,0.3,20
