t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
26.0,2,1.1031760629388605,272.9226845710345,0.03,35
26.0,3,0.9221023434769716,228.12555083958955,0.3,35
16.0,1,1.0,176.73684464845513,0.0,36
16.0,2,0.8675855112659269,153.33432572385664,0.03,36
16.0,3,0.934421205632243,165.14665545604788,0.3,36
26.0,1,0.9999999999999998,217.5470550965685,0.0,36
26.0,2,1.16750542968224,253.9873680366251,0.03,36
26.0,3,1.2471938912362521,271.32335817287657,0.3,36
16.0,1,1.0,158.92913525095202,0.0,37
16.0,2,1.0738848250782822,170.67158660881125,0.03,37
16.0,3,1.0648788171421206,169.24026955545386,0.3,37
26.0,1,0.9999999999999998,257.47822068574806,0.0,37
26.0,2,0.9378351294464563,241.4721204264618,0.03,37
26.0,3,0.9582586320247637,246.7307275304952,0.3,37
16.0,1,1.0,196.2257095944403,0.0,38
16.0,2,1.1792022485620235,231.38979797944268,0.03,38
16.0,3,1.0332998067315209,202.75998779969072,0.3,38
26.0,1,0.9999999999999998,226.14081518596532,0.0,38
26.0,2,0.883220377220961,199.73217609360393,0.03,38
26.0,3,0.85415212173654,193.15865710232305,0.3,38
16.0,1,1.0000000000000002,168.26285957536288,0.0,39
16.0,2,1.0544771166573699,177.42933500555256,0.03,39
16.0,3,0.8811557873519364,148.2657925112172,0.3,39
26.0,1,1.0,254.91288888514796,0.0,39
26.0,2,0.925494559682214,235.9204918560812,0.03,39
26.0,3,0.94206706912379,240.1450381139097,0.3,39
16.0,1,1.0,181.34787937161175,0.0,40
16.0,2,0.9284823535141724,168.37830584375828,0.03,40
16.0,3,1.0702343866369888,194.08473644719555,0.3,40
26.0,1,0.9999999999999998,233.7737370063443,0.0,40
26.0,2,0.9333656387635191,218.19637336706154,0.03,40
26.0,3,1.0048433214440382,234.90597835984005,0.3,40
16.0,1,1.0,158.83586290129702,0.0,41
16.0,2,0.9816137109153837,155.9154608089893,0.03,41
16.0,3,1.0565453529043574,167.817292822919,0.3,41
26.0,1,1.0000000000000002,222.46771935405914,0.0,41
26.0,2,1.1022767197539656,245.2209879407381,0.03,41
26.0,3,1.0240364416500307,227.81505170932837,0.3,41
16.0,1,1.0000000000000002,170.2314099556057,0.0,42
16.0,2,1.102702998909432,187.71468626662735,0.03,42
16.0,3,1.03157075791091,175.60574458814693,0.3,42
26.0,1,0.9999999999999998,221.60571840538486,0.0,42
26.0,2,1.1333086001579888,251.14766651301215,0.03,42
26.0,3,0.9916046543067081,219.74526179176132,0.3,42
16.0,1,1.0,140.76520292336963,0.0,43
16.0,2,1.423202812477733,200.33743269953845,0.03,43
16.0,3,1.0497390056250855,147.76672414339143,0.3,43
26.0,1,1.0000000000000002,240.11531160205567,0.0,43
26.0,2,0.9861217011481067,236.78291954872688,0.03,43
26.0,3,1.0280843724755073,246.85879945016032,0.3,43
16.0,1,0.9999999999999998,171.2707135663278,0.0,44
16.0,2,0.9326323662412154,159.73261086118572,0.03,44
16.0,3,1.026063224208451,175.7345805743484,0.3,44
26.0,1,1.0000000000000002,265.5006586909424,0.0,44
26.0,2,0.8393890694090216,222.85835082607247,0.03,44
26.0,3,0.8803632562467335,233.73702442081066,0.3,44
16.0,1,0.9999999999999998,175.27961668356673,0.0,45
16.0,2,0.8883829963556348,155.7154310694141,0.03,45
16.0,3,1.0815840974809847,189.57964601750845,0.3,45
26.0,1,1.0000000000000002,269.0266257946503,0.0,45
26.0,2,0.8859653934690016,238.34828037579518,0.03,45
26.0,3,0.914127904118707,245.92474558979137,0.3,45
16.0,1,1.0,185.880384731859,0.0,46
16.0,2,1.062207229384564,197.4434884629648,0.03,46
16.0,3,0.871865148450083,162.0626292282008,0.3,46
26.0,1,0.9999999999999998,218.61223684289058,0.0,46
26.0,2,1.0189972455770864,222.76526719235116,0.03,46
26.0,3,1.2252521175933029,267.85510612356035,0.3,46
16.0,1,1.0000000000000002,174.04081564290385,0.0,47
16.0,2,1.0783088447572413,187.66975085650765,0.03,47
16.0,3,0.9460740215034467,164.65549436102202,0.3,47
26.0,1,1.0,229.63414933853204,0.0,47
26.0,2,1.04829952235968,240.72536906905458,0.03,47
26.0,3,1.005053519414869,230.79460997053124,0.3,47
16.0,1,0.9999999999999997,176.49414160606756,0.0,48
16.0,2,1.0144058342714588,179.03668695992795,0.03,48
16.0,3,0.8351084506430922,147.39174914422557,0.3,48
26.0,1,1.0000000000000002,231.239654659663,0.0,48
26.0,2,1.0331892605207253,238.91432780088516,0.03,48
26.0,3,1.0439172135012202,241.3950559432999,0.3,48
16.0,1,0.9999999999999998,179.4456385800027,0.0,49
16.0,2,0.9551787351346406,171.40265808427486,0.03,49
16.0,3,0.8999753323959693,161.49664822804493,0.3,49
26.0,1,1.0,228.63604136839768,0.0,49
26.0,2,1.002479905219916,229.2030370808481,0.03,49
26.0,3,1.163658361381919,266.0542412515983,0.3,49
16.0,1,0.9999999999999998,163.04343328320869,0.0,50
16.0,2,1.1896157280728512,193.9590325927016,0.03,50
16.0,3,1.2425756799970986,202.59380498094458,0.3,50
26.0,1,1.0,232.40145530796767,0.0,50
26.0,2,0.9197078413147223,213.74144077969086,0.03,50
26.0,3,0.8866147891839372,206.05056730391397,0.3,50
16.0,1,0.9999999999999998,163.33224676421963,0.0,51
16.0,2,1.0708889998372806,174.91070637851107,0.03,51
16.0,3,1.0280928673523804,167.92071790693313,0.3,51
26.0,1,1.0,251.32452566796513,0.0,51
26.0,2,0.9548145383212441,239.96831094446378,0.03,51
26.0,3,0.9822077260493355,246.85289085675987,0.3,51
16.0,1,0.9999999999999997,149.85215056569638,0.0,52
16.0,2,1.3140977269146037,196.92037043164655,0.03,52
16.0,3,1.2325643554304893,184.70241937188015,0.3,52
26.0,1,1.0,239.94491347155545,0.0,52
26.0,2,0.9643014077304036,231.37921783837078,0.03,52
26.0,3,0.855550588075662,205.28501182635313,0.3,52
16.0,1,1.0,187.78298780046265,0.0,53
16.0,2,0.9294650994288045,174.537733426995,0.03,53
16.0,3,1.0191586070158614,191.38064826799604,0.3,53
26.0,1,1.0,209.73524850121126,0.0,53
26.0,2,1.2048206405901332,252.69335645356014,0.03,53
26.0,3,1.0167787059464282,213.25433456241413,0.3,53
16.0,1,1.0,185.41285970524015,0.0,54
16.0,2,1.1031986485726495,204.5472162548112,0.03,54
16.0,3,1.0083698387725926,186.96473544733834,0.3,54
26.0,1,1.0,212.23817843179663,0.0,54
