C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.03,14.8,20.2,5.4,344.41146117729073,171.38042653223178,16
0.3,17.6,22.8,5.2,340.41304924341875,178.2894784887538,16
3.0,15.8,21.3,5.5,343.5077587111676,175.886950340894,16
30.0,Inf,Inf,NaN,Inf,Inf,16
0.0,13.0,18.2,5.2,346.5671947726781,178.34385267882408,17
0.03,14.0,19.0,5.0,345.4872624024008,191.99911980138916,17
0.3,17.3,22.4,5.1,340.49348818682375,180.8231338890668,17
3.0,15.6,20.9,5.3,342.7576073653481,170.12821369821478,17
30.0,Inf,Inf,NaN,Inf,Inf,17
0.0,14.8,20.0,5.2,344.4794037491802,183.56918141545995,18
0.03,15.8,21.3,5.5,342.9598028512061,168.8079134799716,18
0.3,15.8,20.9,5.1,343.08658017729186,186.33591827750263,18
3.0,15.6,20.9,5.3,343.5252802916717,176.87813149307618,18
30.0,Inf,Inf,NaN,Inf,Inf,18
0.0,15.6,20.8,5.2,343.36141751833964,183.62819453647563,19
0.03,15.6,20.7,5.1,343.1707388956043,182.30843258591491,19
0.3,14.5,19.7,5.2,344.73634176873384,181.19858313466153,19
3.0,12.9,18.0,5.1,346.5830393860725,180.9830625236469,19
30.0,Inf,Inf,NaN,Inf,Inf,19
0.0,15.9,21.1,5.2,342.98690101330897,184.60610748692937,20
0.03,16.2,21.6,5.4,343.02707236622575,174.43223152709544,20
0.3,16.3,21.5,5.2,342.5635714555524,181.60088916297985,20
3.0,15.6,20.7,5.1,343.5504154086625,183.8266187293082,20
30.0,Inf,Inf,NaN,Inf,Inf,20
0.0,17.5,22.8,5.3,341.12165016832375,176.71875931768972,21
0.03,15.9,21.1,5.2,342.9030514001056,180.5958298758772,21
0.3,15.6,20.9,5.3,343.65319282006755,181.80774213908495,21
3.0,13.1,18.0,4.9,346.326273755136,188.50306253706145,21
30.0,Inf,Inf,NaN,Inf,Inf,21
0.0,15.7,20.9,5.2,343.1720159689595,180.87709554324502,22
0.03,14.7,20.0,5.3,344.8380316276049,183.5045921372876,22
0.3,14.4,19.5,5.1,344.94073324740623,184.74568036232242,22
3.0,15.4,20.7,5.3,343.9241773009113,179.15947298888975,22
30.0,Inf,Inf,NaN,Inf,Inf,22
0.0,16.2,21.4,5.2,342.6667961524247,181.33225586173654,23
0.03,15.4,20.5,5.1,343.63299898974486,187.2678646611741,23
0.3,16.2,21.4,5.2,342.0291554809175,173.27213692680326,23
3.0,16.0,21.4,5.4,342.7585313037674,171.84923178761238,23
30.0,33.5,40.5,7.0,277.1705550509626,106.06791622046751,23
0.0,15.4,20.8,5.4,343.5524459695678,175.78445717135887,24
0.03,15.7,20.8,5.1,343.23133958855817,189.52457495358067,24
0.3,16.8,22.2,5.4,342.0995190013034,175.3842009588854,24
3.0,14.8,20.0,5.2,344.12633720135835,179.0764360518082,24
30.0,Inf,Inf,NaN,Inf,Inf,24
0.0,14.0,19.3,5.3,345.4110849740544,177.6919242021774,25
0.03,14.4,19.6,5.2,344.8041737778232,184.19733133388834,25
0.3,15.2,20.3,5.1,343.56774653640286,182.6559773903071,25
3.0,16.8,22.1,5.3,341.96205973469785,176.61393170094573,25
30.0,Inf,Inf,NaN,Inf,Inf,25
0.0,16.5,21.7,5.2,342.43115860138465,184.29829225098518,26
0.03,14.8,20.0,5.2,344.2643107251176,179.56061431733863,26
0.3,14.9,20.3,5.4,344.4759966870552,175.71494272648965,26
3.0,16.1,21.6,5.5,342.9444268023291,171.14799374028098,26
30.0,Inf,Inf,NaN,Inf,Inf,26
0.0,15.8,20.9,5.1,342.73265138502677,180.62888225257961,27
0.03,15.6,20.7,5.1,343.0424723854328,180.5467646348104,27
0.3,15.6,21.0,5.4,343.46485507718745,175.37643055166797,27
3.0,16.5,21.9,5.4,341.9658960795402,168.63759558061275,27
30.0,Inf,Inf,NaN,Inf,Inf,27
0.0,13.6,18.9,5.3,345.8670498735818,177.69257427511798,28
0.03,17.7,22.9,5.2,340.52638191252294,177.176360244608,28
0.3,14.4,19.7,5.3,344.9178386987502,173.85748675104716,28
3.0,12.6,17.7,5.1,346.9851913493679,188.01641384892315,28
30.0,Inf,Inf,NaN,Inf,Inf,28
0.0,16.5,21.8,5.3,341.92253281818205,171.84225618678738,29
0.03,16.7,22.0,5.3,342.2929796242844,181.03289419773674,29
0.3,15.4,20.5,5.1,343.35735690272054,182.06512370311486,29
3.0,15.8,21.0,5.2,342.92060518621884,177.03974576899117,29
30.0,Inf,Inf,NaN,Inf,Inf,29
0.0,14.7,19.8,5.1,344.5318559247731,183.15575997620482,30
0.03,15.8,21.1,5.3,343.1442146391431,172.15759397506827,30
0.3,13.5,18.8,5.3,346.3422137812049,182.76767137212968,30
3.0,13.2,18.3,5.1,346.5666241329838,189.8246066525783,30
30.0,Inf,Inf,NaN,Inf,Inf,30
0.0,17.8,23.0,5.2,340.0131011620291,176.4764075274765,31
0.03,15.0,20.1,5.1,344.10570937356886,186.58358187284725,31
0.3,17.1,22.2,5.1,341.13232869572,182.8654633889103,31
3.0,15.4,21.0,5.6,343.88812101054475,166.88694007143582,31
30.0,Inf,Inf,NaN,Inf,Inf,31
0.0,14.5,19.9,5.4,344.7944862583337,173.71130843761347,32
0.03,17.6,23.0,5.4,340.8414657171167,174.8420493764658,32
0.3,14.8,20.2,5.4,344.3871011946473,173.63813498063254,32
3.0,15.9,21.0,5.1,342.93348673226967,186.25996207290063,32
30.0,Inf,Inf,NaN,Inf,Inf,32
0.0,14.3,19.4,5.1,344.93689413773194,186.3565252183302,33
0.03,15.2,20.4,5.2,343.82817911110925,178.947125418466,33
0.3,15.7,20.7,5.0,342.8708449608616,186.1974743637909,33
3.0,15.7,20.9,5.2,342.76130331874793,172.53324400295108,33
30.0,Inf,Inf,NaN,Inf,Inf,33
0.0,14.8,20.2,5.4,344.59667492845523,174.43497497346,34
0.03,15.4,20.7,5.3,343.960037087499,183.90322231990055,34
0.3,13.7,18.8,5.1,345.6611680748203,184.91498413083798,34
3.0,17.0,22.5,5.5,342.06163207093573,174.12200508607035,34
