replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
4,0.0,uninfected,1,38.0,43.0,5.0,263.6778298662772,143.91555675049526,4
5,0.0,uninfected,1,37.0,43.0,6.0,264.76757335829865,124.26827535818728,4
6,0.0,uninfected,1,36.0,41.0,5.0,265.6209051413245,144.67749302757113,4
7,0.0,uninfected,1,47.0,52.0,5.0,254.0731402629692,133.29693289994802,4
8,0.0,uninfected,1,43.0,48.0,5.0,257.6901141327944,131.782055667055,4
9,0.0,uninfected,1,41.0,47.0,6.0,261.61135536357745,125.55250809075412,4
10,0.0,uninfected,1,40.0,45.0,5.0,262.14934177457906,150.81282247606043,4
1,0.0,uninfected,1,42.0,47.0,5.0,258.51272545705973,130.42539783195306,5
2,0.0,uninfected,1,40.0,45.0,5.0,260.6410083291036,131.03579840681132,5
3,0.0,uninfected,1,42.0,47.0,5.0,258.69808054331776,131.875403637827,5
4,0.0,uninfected,1,39.0,44.0,5.0,261.8945531574353,133.09297262128308,5
5,0.0,uninfected,1,37.0,42.0,5.0,264.26710839554545,137.13899025328058,5
6,0.0,uninfected,1,36.0,41.0,5.0,265.7513717704605,152.7050103660952,5
7,0.0,uninfected,1,37.0,42.0,5.0,264.84872753229934,152.18626630710068,5
8,0.0,uninfected,1,35.0,40.0,5.0,266.1062167740239,133.09175839093575,5
9,0.0,uninfected,1,36.0,41.0,5.0,265.71714027971103,159.22401583771867,5
10,0.0,uninfected,1,47.0,52.0,5.0,254.93646424974852,139.39222354945858,5
1,0.0,uninfected,1,36.0,41.0,5.0,264.5336228885806,126.95067343276791,6
2,0.0,uninfected,1,36.0,41.0,5.0,265.69132727397135,160.58601277609952,6
3,0.0,uninfected,1,40.0,45.0,5.0,261.5421947460323,140.47850688971812,6
4,0.0,uninfected,1,46.0,51.0,5.0,255.06194265190436,133.63507230294556,6
5,0.0,uninfected,1,49.0,54.0,5.0,253.2904599492333,140.13188045869003,6
6,0.0,uninfected,1,36.0,41.0,5.0,264.93059986378825,131.82922328624443,6
7,0.0,uninfected,1,37.0,42.0,5.0,264.8882477894127,157.36416827155654,6
8,0.0,uninfected,1,41.0,46.0,5.0,259.84317876073186,132.97297805837786,6
