spc.Z_mean_UGent,spc.eta_AS_juv,weight,loss
0.7249433076553792,0.8080704106766886,0.012528251709545381,0.11434789901242413
0.8330330907584461,0.837232542642906,0.005323205803620519,0.11995151462505257
0.7466103030553232,0.6886868728043575,0.00019827724863206224,0.10561296387377525
0.7538633732756885,0.67371085052124,0.0005610386915067989,0.11828519928890072
0.7495538221512751,0.7106280630089711,0.00013249721226450646,0.11697833843096107
0.7166918193259236,0.8724227980382211,0.08632915798944851,0.10510547062537452
0.6776722982792718,0.887756806145202,0.0016738190289741378,0.12131596541498962
0.7029081836302447,0.9761937123662204,0.00577736185156015,0.0914970994514449
0.7487758313402492,0.6847845365015675,2.6697961157743828e-5,0.12307424194794496
0.7457162311216327,0.9190829757972485,0.0018389613522605704,0.12242332766343424
0.7495879990710765,0.6915418858668915,0.00015369420240780228,0.11070433723216179
0.7561961192365463,0.8125501589324496,0.016465831180204282,0.0976438775227312
0.7590719094145806,0.7974467220624769,0.02796150613970779,0.08997353089564217
0.8279003549019761,0.8317868111292868,0.001022196742270503,0.12190346194261537
0.8041660774045698,0.8598399431680612,0.04074136998662879,0.11799478237389337
0.7158695587408365,0.9742483797858913,0.013648232539693028,0.10580476071822724
0.679383465593603,0.8590659057122871,0.03969053314778637,0.09703172193203626
0.7801355965949995,0.8394031553551452,0.0043386344469397015,0.11413175188353958
0.7319247798735377,0.756069492859218,0.016602412689772333,0.11492800284350245
0.707512403866938,0.897064279868437,0.0006563599823716618,0.12490059955479603
0.765163570744148,0.991706814153273,0.00030663585734393985,0.12481012448037176
0.724903436752984,0.9098847931078683,0.01391515748468182,0.09829001906165664
0.7777317258470439,0.8655133576111464,0.0027757582021724833,0.11534392911511496
0.7545216875174181,0.9718575629319681,0.005370686158980961,0.11192614868372418
0.7420172582215886,0.7045969867259124,0.0003787381406311266,0.11716692229752541
0.7875589793029295,0.8368575489945258,0.048567408640786694,0.11009136736667348
0.7824116197345606,0.8560766345252665,0.009908302202178799,0.10856518980342912
0.7516208716884949,0.8208293832742801,0.013500324545913767,0.10836007463561272
0.7501337530862988,0.6939219876200459,8.18661844510034e-5,0.11839972091601346
0.7790808666555317,0.795766706379595,0.0011441175853502455,0.1196336035359783
0.7807403009905288,0.8704824259691034,0.001982025359694574,0.11901233992329577
0.7489013391003512,0.9475675337130741,0.008222165864682815,0.11931576989901467
0.7910980088846495,0.9407384026731366,0.05470262621153928,0.10276928425111427
0.7137352818309755,0.9286576847304481,0.002477148403071218,0.12110732704991732
