t_since_mm,treatment_id,y_wetmass_mg,wetmass_mg,pretreatment_24D,num_sample
26.0,3,0.7944964197633959,188.18853969752104,0.3,53
16.0,1,1.0,163.57675092108823,0.0,54
16.0,2,1.0266140997296311,167.9301988835511,0.03,54
16.0,3,1.0422129790673191,170.48181288362025,0.3,54
26.0,1,1.0,265.2230983306543,0.0,54
26.0,2,1.0842923595836291,287.579379105026,0.03,54
26.0,3,0.7925805240187836,210.21066225679533,0.3,54
16.0,1,0.9999999999999998,172.147753297816,0.0,55
16.0,2,0.8108761835271514,139.5905131969066,0.03,55
16.0,3,0.9427314623893558,162.28910321349215,0.3,55
26.0,1,1.0,241.6413954685977,0.0,55
26.0,2,1.0292003560686847,248.69741025721459,0.03,55
26.0,3,0.8349089337996837,201.74855985255465,0.3,55
16.0,1,1.0,197.6671965850946,0.0,56
16.0,2,0.8025557722987001,158.63894961346958,0.03,56
16.0,3,0.6817774746992762,134.76504211867115,0.3,56
26.0,1,1.0,198.9455642466569,0.0,56
26.0,2,1.2752404279083056,253.70342648036603,0.03,56
26.0,3,0.9615791149040944,191.30189958239595,0.3,56
16.0,1,1.0,196.38911447749425,0.0,57
16.0,2,0.8454114092467417,166.0295980311381,0.03,57
16.0,3,0.9085434421048927,178.4280420593144,0.3,57
26.0,1,1.0,250.70328856517455,0.0,57
26.0,2,0.884363814005914,221.71291645932303,0.03,57
26.0,3,0.8844637050316664,221.73795946797722,0.3,57
16.0,1,1.0,178.97239845030535,0.0,58
16.0,2,0.8670462307098431,155.1773434774374,0.03,58
16.0,3,0.8179780896361886,146.39550058198753,0.3,58
26.0,1,0.9999999999999998,260.15485766529184,0.0,58
26.0,2,0.9502292034794942,247.2067431806115,0.03,58
26.0,3,0.8867844017974272,230.7012698294107,0.3,58
16.0,1,0.9999999999999997,191.26108106054212,0.0,59
16.0,2,0.9557952129115337,182.80642569395098,0.03,59
16.0,3,0.9453254195461737,180.80396169641168,0.3,59
26.0,1,1.0,233.80038286758085,0.0,59
26.0,2,1.1052958641662103,258.41859622401364,0.03,59
26.0,3,0.8734937245582997,204.22316723415963,0.3,59
16.0,1,0.9999999999999998,173.14167937507054,0.0,60
16.0,2,1.0019634937424775,173.48164197908554,0.03,60
16.0,3,0.7597485076977012,131.5441325254837,0.3,60
26.0,1,1.0000000000000004,272.41768307770644,0.0,60
26.0,2,0.8095200749263098,220.52758321631663,0.03,60
26.0,3,0.8426886938259394,229.56330152784108,0.3,60
16.0,1,1.0000000000000002,174.9784152383368,0.0,61
16.0,2,1.0152130334946938,177.64036773020604,0.03,61
16.0,3,1.0697968879347555,187.1913640777281,0.3,61
26.0,1,1.0000000000000002,231.28253679164249,0.0,61
26.0,2,1.0158784167231478,234.95493729160694,0.03,61
26.0,3,0.9019332180309407,208.60140268284553,0.3,61
16.0,1,0.9999999999999998,195.15257776956705,0.0,62
16.0,2,0.8793207009693482,171.60170148031094,0.03,62
16.0,3,0.7583569496908924,147.99531360164355,0.3,62
26.0,1,1.0000000000000002,205.31404878574455,0.0,62
