replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
8,0.3,uninfected,3,0.0,3.0,3.0,171.15775146901757,107.38615604749435,3
9,0.0,uninfected,3,25.0,26.0,1.0,175.28226605260915,171.46800560785408,3
9,0.3,uninfected,3,0.0,3.0,3.0,171.46800560785408,108.74134556476335,3
10,0.0,uninfected,3,24.0,26.0,2.0,173.7880353229367,169.98309557913944,3
10,0.3,uninfected,3,0.0,3.0,3.0,169.98309557913944,102.67277336078386,3
1,0.0,uninfected,1,25.0,29.0,4.0,175.2953640501431,106.38552888039838,4
2,0.0,uninfected,1,25.0,29.0,4.0,175.16741756666283,113.07768135401598,4
3,0.0,uninfected,1,25.0,29.0,4.0,175.2938437181633,106.62745320151457,4
4,0.0,uninfected,1,25.0,29.0,4.0,175.1769520597594,112.80497367635792,4
5,0.0,uninfected,1,25.0,29.0,4.0,175.28466830827574,103.92633132109533,4
6,0.0,uninfected,1,25.0,29.0,4.0,175.18009565184576,112.7308700677909,4
7,0.0,uninfected,1,25.0,29.0,4.0,175.2670125565217,109.63419798252752,4
8,0.0,uninfected,1,25.0,29.0,4.0,175.2914545548407,105.2540459873218,4
9,0.0,uninfected,1,25.0,29.0,4.0,175.2637200537384,109.56319168626183,4
10,0.0,uninfected,1,24.0,29.0,5.0,173.83056480455465,102.33549095895212,4
1,0.0,uninfected,2,25.0,26.0,1.0,175.29338980485358,170.75761197052387,4
1,0.03,uninfected,2,0.0,3.0,3.0,170.75761197052387,105.69664821309127,4
2,0.0,uninfected,2,25.0,26.0,1.0,175.10282145650734,172.60364824307504,4
2,0.03,uninfected,2,0.0,3.0,3.0,172.60364824307504,114.47732717003672,4
3,0.0,uninfected,2,25.0,26.0,1.0,175.29154746327922,170.54641792058706,4
3,0.03,uninfected,2,0.0,3.0,3.0,170.54641792058706,104.82929218796714,4
4,0.0,uninfected,2,25.0,26.0,1.0,175.26446938754106,170.10612325247337,4
4,0.03,uninfected,2,0.0,3.0,3.0,170.10612325247337,103.12482664312351,4
5,0.0,uninfected,2,24.0,26.0,2.0,173.85573922751456,169.8678569577223,4
5,0.03,uninfected,2,0.0,3.0,3.0,169.8678569577223,102.21311132131393,4
