replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
1,0.03,uninfected,2,0.0,3.0,3.0,172.10937628567817,111.80714396166039,4
2,0.0,uninfected,2,24.0,26.0,2.0,173.89559244237358,169.76415117736258,4
2,0.03,uninfected,2,0.0,3.0,3.0,169.76415117736258,101.84581855508996,4
3,0.0,uninfected,2,25.0,26.0,1.0,175.26324171590198,170.00487729833637,4
3,0.03,uninfected,2,0.0,3.0,3.0,170.00487729833637,102.72072276731913,4
4,0.0,uninfected,2,25.0,26.0,1.0,175.29074422352326,170.57486459065433,4
4,0.03,uninfected,2,0.0,3.0,3.0,170.57486459065433,104.94936607135334,4
5,0.0,uninfected,2,25.0,26.0,1.0,175.27393539923554,171.5549556855737,4
5,0.03,uninfected,2,0.0,3.0,3.0,171.5549556855737,109.14664657788721,4
6,0.0,uninfected,2,25.0,26.0,1.0,175.29744576232144,170.76382871924505,4
6,0.03,uninfected,2,0.0,3.0,3.0,170.76382871924505,105.70852943420053,4
7,0.0,uninfected,2,25.0,26.0,1.0,175.28878144178734,171.18339193270336,4
7,0.03,uninfected,2,0.0,3.0,3.0,171.18339193270336,107.50147533871889,4
8,0.0,uninfected,2,25.0,26.0,1.0,175.2959235623588,171.08757529305353,4
8,0.03,uninfected,2,0.0,3.0,3.0,171.08757529305353,107.07058853346534,4
9,0.0,uninfected,2,25.0,26.0,1.0,175.28197846665716,170.29859763243135,4
9,0.03,uninfected,2,0.0,3.0,3.0,170.29859763243135,103.84698503862059,4
10,0.0,uninfected,2,25.0,26.0,1.0,175.27905748400747,170.2636396960823,4
10,0.03,uninfected,2,0.0,3.0,3.0,170.2636396960823,103.71453978606559,4
1,0.0,uninfected,3,25.0,26.0,1.0,175.297505332094,170.7801236117082,4
1,0.3,uninfected,3,0.0,3.0,3.0,170.7801236117082,105.77614326014753,4
2,0.0,uninfected,3,25.0,26.0,1.0,175.2374720067234,171.92927729354528,4
