treatment_bd,treatment_24D,individualID,t_since_mm,SVL_mean,weight,treatment_combination
BE3,0.3,D79C,0,9.4915,,BE3 | 0.3
BE3,0.3,D79D,0,8.5885,,BE3 | 0.3
BE3,0.3,D79E,0,9.6375,,BE3 | 0.3
BE3,0.3,D79F,0,10.6615,,BE3 | 0.3
BE3,0.03,D85A,0,8.5035,,BE3 | 0.03
BE3,0.03,D85B,0,9.508,,BE3 | 0.03
BE3,0.03,D85C,0,8.718,,BE3 | 0.03
BE3,0.03,D85D,0,9.729,,BE3 | 0.03
BE3,0.03,D85E,0,10.121,,BE3 | 0.03
BE3,0.03,D90A,0,9.3695,,BE3 | 0.03
BE3,0.03,D90B,0,9.463,,BE3 | 0.03
BE3,0.03,D90C,0,8.816,,BE3 | 0.03
BE3,0.03,D90D,0,9.473,,BE3 | 0.03
BE3,0.03,D90E,0,10.03,,BE3 | 0.03
BE3,0.03,D95A,0,8.8395,,BE3 | 0.03
BE3,0.03,D95B,0,9.632,,BE3 | 0.03
BE3,0.03,D95C,0,10.4565,,BE3 | 0.03
BE3,0.03,D95D,0,9.9875,,BE3 | 0.03
BE3,0.03,D95E,0,10.599,,BE3 | 0.03
BE3,0.03,D100A,0,8.494,,BE3 | 0.03
BE3,0.03,D100B,0,8.781,,BE3 | 0.03
BE3,0.03,D100C,0,9.0355,,BE3 | 0.03
BE3,0.03,D100D,0,9.184,,BE3 | 0.03
BE3,0.03,D100E,0,10.143,,BE3 | 0.03
BE3,0.03,D100F,0,10.014,,BE3 | 0.03
BE3,0.0,D106A,0,9.5245,,BE3 | 0.0
BE3,0.0,D106B,0,10.706,,BE3 | 0.0
BE3,0.0,D106C,0,9.628,,BE3 | 0.0
BE3,0.0,D106D,0,9.4205,,BE3 | 0.0
BE3,0.0,D106E,0,9.7705,,BE3 | 0.0
BE3,0.0,D111A,0,9.704,,BE3 | 0.0
BE3,0.0,D111B,0,9.712,,BE3 | 0.0
BE3,0.0,D111C,0,10.5585,,BE3 | 0.0
BE3,0.0,D111D,0,8.6795,,BE3 | 0.0
BE3,0.0,D111E,0,9.785,,BE3 | 0.0
BE3,0.0,D116A,0,9.281,,BE3 | 0.0
BE3,0.0,D116B,0,9.771,,BE3 | 0.0
BE3,0.0,D116C,0,10.2795,,BE3 | 0.0
BE3,0.0,D116D,0,10.3315,,BE3 | 0.0
BE3,0.0,D116E,0,9.777,,BE3 | 0.0
BE3,0.0,D121A,0,10.082,,BE3 | 0.0
BE3,0.0,D121B,0,9.5065,,BE3 | 0.0
BE3,0.0,D121C,0,9.075,,BE3 | 0.0
BE3,0.0,D121D,0,9.06,,BE3 | 0.0
BE3,0.0,D121E,0,8.7265,,BE3 | 0.0
BE3,0.0,D121F,0,9.616,,BE3 | 0.0
uninfected,0.0,D151A,0,10.2605,,uninfected | 0.0
uninfected,0.0,D151B,0,10.134,,uninfected | 0.0
uninfected,0.0,D151C,0,9.7655,,uninfected | 0.0
uninfected,0.0,D151D,0,9.9015,,uninfected | 0.0
uninfected,0.0,D151E,0,10.444,,uninfected | 0.0
uninfected,0.0,D156A,0,8.694,,uninfected | 0.0
uninfected,0.0,D156B,0,9.5475,,uninfected | 0.0
uninfected,0.0,D156C,0,10.022,,uninfected | 0.0
uninfected,0.0,D156D,0,11.2875,,uninfected | 0.0
uninfected,0.0,D156E,0,9.502,,uninfected | 0.0
uninfected,0.0,D161A,0,8.441,,uninfected | 0.0
uninfected,0.0,D161B,0,10.489,,uninfected | 0.0
uninfected,0.0,D161C,0,9.3345,,uninfected | 0.0
uninfected,0.0,D161D,0,9.477,,uninfected | 0.0
uninfected,0.0,D161E,0,9.4615,,uninfected | 0.0
uninfected,0.0,D161F,0,9.651,,uninfected | 0.0
uninfected,0.0,D166A,0,9.739,,uninfected | 0.0
uninfected,0.0,D166B,0,10.218,,uninfected | 0.0
uninfected,0.0,D166C,0,10.487,,uninfected | 0.0
uninfected,0.0,D166D,0,9.2165,,uninfected | 0.0
uninfected,0.0,D166E,0,10.3215,,uninfected | 0.0
uninfected,0.03,D172A,0,9.1165,,uninfected | 0.03
uninfected,0.03,D172B,0,9.697,,uninfected | 0.03
uninfected,0.03,D172C,0,9.565,,uninfected | 0.03
uninfected,0.03,D172D,0,9.2985,,uninfected | 0.03
uninfected,0.03,D172E,0,9.423,,uninfected | 0.03
uninfected,0.03,D177A,0,10.0645,,uninfected | 0.03
uninfected,0.03,D177B,0,9.1245,,uninfected | 0.03
uninfected,0.03,D177C,0,8.8245,,uninfected | 0.03
uninfected,0.03,D177D,0,8.7015,,uninfected | 0.03
uninfected,0.03,D177E,0,10.9085,,uninfected | 0.03
uninfected,0.03,D182A,0,9.8415,,uninfected | 0.03
uninfected,0.03,D182B,0,9.947,,uninfected | 0.03
uninfected,0.03,D182C,0,8.877,,uninfected | 0.03
uninfected,0.03,D182D,0,9.396,,uninfected | 0.03
uninfected,0.03,D182E,0,10.1325,,uninfected | 0.03
uninfected,0.03,D187A,0,8.934,,uninfected | 0.03
uninfected,0.03,D187B,0,8.897,,uninfected | 0.03
uninfected,0.03,D187C,0,9.1315,,uninfected | 0.03
uninfected,0.03,D187D,0,10.295,,uninfected | 0.03
uninfected,0.03,D187E,0,11.88,,uninfected | 0.03
uninfected,0.03,D187F,0,10.273,,uninfected | 0.03
uninfected,0.3,D193A,0,9.099,,uninfected | 0.3
uninfected,0.3,D193B,0,9.1885,,uninfected | 0.3
uninfected,0.3,D193C,0,8.5435,,uninfected | 0.3
uninfected,0.3,D193D,0,9.915,,uninfected | 0.3
uninfected,0.3,D193E,0,10.8815,,uninfected | 0.3
uninfected,0.3,D198A,0,9.4345,,uninfected | 0.3
uninfected,0.3,D198B,0,8.0765,,uninfected | 0.3
uninfected,0.3,D198C,0,9.2515,,uninfected | 0.3
uninfected,0.3,D198D,0,9.203,,uninfected | 0.3
uninfected,0.3,D198E,0,9.5455,,uninfected | 0.3
uninfected,0.3,D203A,0,8.54,,uninfected | 0.3
uninfected,0.3,D203B,0,9.9265,,uninfected | 0.3
uninfected,0.3,D203C,0,8.8335,,uninfected | 0.3
uninfected,0.3,D203D,0,10.059,,uninfected | 0.3
uninfected,0.3,D203E,0,8.819,,uninfected | 0.3
uninfected,0.3,D208A,0,8.587,,uninfected | 0.3
uninfected,0.3,D208B,0,8.5925,,uninfected | 0.3
uninfected,0.3,D208C,0,9.807,,uninfected | 0.3
uninfected,0.3,D208D,0,9.6145,,uninfected | 0.3
uninfected,0.3,D208E,0,10.6365,,uninfected | 0.3
uninfected,0.3,D208F,0,9.1875,,uninfected | 0.3
JEL423,0.3,D1A,16,11.688,0.17,JEL423 | 0.3
JEL423,0.3,D1B,16,10.76,0.13,JEL423 | 0.3
JEL423,0.3,D1C,16,11.5915,0.17,JEL423 | 0.3
JEL423,0.3,D1D,16,10.75,0.16,JEL423 | 0.3
JEL423,0.3,D1E,16,11.7005,0.12,JEL423 | 0.3
JEL423,0.3,D6A,16,10.5405,0.12,JEL423 | 0.3
JEL423,0.3,D6B,16,11.5425,0.17,JEL423 | 0.3
JEL423,0.3,D6C,16,10.3385,0.11,JEL423 | 0.3
JEL423,0.3,D6D,16,10.4465,0.15,JEL423 | 0.3
JEL423,0.3,D6E,16,10.695,0.14,JEL423 | 0.3
JEL423,0.3,D11A,16,10.3145,0.13,JEL423 | 0.3
JEL423,0.3,D11B,16,10.0475,0.15,JEL423 | 0.3
JEL423,0.3,D11C,16,11.0725,0.15,JEL423 | 0.3
JEL423,0.3,D11D,16,11.29,0.17,JEL423 | 0.3
JEL423,0.3,D11E,16,10.3785,0.15,JEL423 | 0.3
JEL423,0.3,D16A,16,10.436,0.14,JEL423 | 0.3
JEL423,0.3,D16B,16,11.023,0.13,JEL423 | 0.3
JEL423,0.3,D16C,16,10.485,0.12,JEL423 | 0.3
JEL423,0.3,D16D,16,10.581,0.13,JEL423 | 0.3
JEL423,0.3,D16E,16,9.9965,0.17,JEL423 | 0.3
JEL423,0.3,D16F,16,10.177,0.15,JEL423 | 0.3
JEL423,0.03,D22A,16,10.594,0.12,JEL423 | 0.03
JEL423,0.03,D22B,16,10.701,0.12,JEL423 | 0.03
JEL423,0.03,D22C,16,10.822,0.16,JEL423 | 0.03
JEL423,0.03,D22D,16,11.7045,0.18,JEL423 | 0.03
JEL423,0.03,D22E,16,11.5295,0.14,JEL423 | 0.03
JEL423,0.03,D27A,16,10.548,0.13,JEL423 | 0.03
JEL423,0.03,D27B,16,11.0705,0.12,JEL423 | 0.03
JEL423,0.03,D27C,16,9.5,0.14,JEL423 | 0.03
JEL423,0.03,D27D,16,11.2325,0.2,JEL423 | 0.03
JEL423,0.03,D27E,16,10.5045,0.18,JEL423 | 0.03
JEL423,0.03,D32A,16,11.661,0.17,JEL423 | 0.03
JEL423,0.03,D32B,16,10.7415,0.14,JEL423 | 0.03
JEL423,0.03,D32C,16,11.7705,0.16,JEL423 | 0.03
JEL423,0.03,D32D,16,12.509,0.21,JEL423 | 0.03
JEL423,0.03,D32E,16,11.3545,0.16,JEL423 | 0.03
JEL423,0.03,D37A,16,11.1255,0.17,JEL423 | 0.03
JEL423,0.03,D37B,16,11.525,0.21,JEL423 | 0.03
JEL423,0.03,D37C,16,11.493,0.17,JEL423 | 0.03
JEL423,0.03,D37D,16,9.663,0.14,JEL423 | 0.03
JEL423,0.03,D37E,16,11.7785,0.15,JEL423 | 0.03
JEL423,0.03,D37F,16,10.9865,0.2,JEL423 | 0.03
JEL423,0.0,D43A,16,10.3545,0.13,JEL423 | 0.0
JEL423,0.0,D43B,16,11.317,0.15,JEL423 | 0.0
JEL423,0.0,D43C,16,9.727,0.12,JEL423 | 0.0
JEL423,0.0,D43D,16,10.966,0.15,JEL423 | 0.0
JEL423,0.0,D43E,16,11.2445,0.17,JEL423 | 0.0
JEL423,0.0,D48A,16,10.886,0.15,JEL423 | 0.0
JEL423,0.0,D48B,16,10.8935,0.15,JEL423 | 0.0
JEL423,0.0,D48C,16,11.6905,0.14,JEL423 | 0.0
JEL423,0.0,D48D,16,10.717,0.11,JEL423 | 0.0
JEL423,0.0,D48E,16,10.8845,0.11,JEL423 | 0.0
JEL423,0.0,D53A,16,11.5825,0.14,JEL423 | 0.0
JEL423,0.0,D53B,16,11.625,0.19,JEL423 | 0.0
JEL423,0.0,D53C,16,10.529,0.16,JEL423 | 0.0
JEL423,0.0,D53D,16,11.6135,0.15,JEL423 | 0.0
JEL423,0.0,D53E,16,9.484,0.13,JEL423 | 0.0
JEL423,0.0,D58A,16,10.759,0.15,JEL423 | 0.0
JEL423,0.0,D58B,16,10.822,0.17,JEL423 | 0.0
JEL423,0.0,D58C,16,10.7115,0.13,JEL423 | 0.0
JEL423,0.0,D58D,16,11.6155,0.15,JEL423 | 0.0
JEL423,0.0,D58E,16,11.849,0.17,JEL423 | 0.0
JEL423,0.0,D58F,16,11.181,0.15,JEL423 | 0.0
BE3,0.3,D64A,16,10.7205,0.12,BE3 | 0.3
BE3,0.3,D64B,16,10.8325,0.12,BE3 | 0.3
BE3,0.3,D64C,16,11.752,0.17,BE3 | 0.3
BE3,0.3,D64D,16,11.3745,0.15,BE3 | 0.3
BE3,0.3,D64E,16,11.361,0.15,BE3 | 0.3
BE3,0.3,D69A,16,10.737,0.12,BE3 | 0.3
BE3,0.3,D69B,16,10.413,0.11,BE3 | 0.3
BE3,0.3,D69C,16,9.7095,0.15,BE3 | 0.3
BE3,0.3,D69D,16,11.358,0.15,BE3 | 0.3
BE3,0.3,D69E,16,10.8355,0.12,BE3 | 0.3
BE3,0.3,D74A,16,11.32,0.14,BE3 | 0.3
BE3,0.3,D74B,16,10.4515,0.12,BE3 | 0.3
BE3,0.3,D74C,16,10.2015,0.13,BE3 | 0.3
BE3,0.3,D74D,16,11.7025,0.16,BE3 | 0.3
BE3,0.3,D74E,16,10.042,0.13,BE3 | 0.3
BE3,0.3,D79A,16,11.3325,0.15,BE3 | 0.3
BE3,0.3,D79B,16,10.8725,0.15,BE3 | 0.3
BE3,0.3,D79C,16,11.249,0.14,BE3 | 0.3
BE3,0.3,D79D,16,11.3045,0.17,BE3 | 0.3
BE3,0.3,D79E,16,10.969,0.17,BE3 | 0.3
BE3,0.3,D79F,16,11.8075,0.15,BE3 | 0.3
BE3,0.03,D85A,16,9.807,0.11,BE3 | 0.03
BE3,0.03,D85B,16,10.996,0.14,BE3 | 0.03
BE3,0.03,D85C,16,11.213,0.13,BE3 | 0.03
BE3,0.03,D85D,16,11.3275,0.15,BE3 | 0.03
BE3,0.03,D85E,16,11.0705,0.14,BE3 | 0.03
BE3,0.03,D90A,16,11.006,0.16,BE3 | 0.03
BE3,0.03,D90B,16,10.7495,0.13,BE3 | 0.03
BE3,0.03,D90C,16,9.5865,0.11,BE3 | 0.03
BE3,0.03,D90D,16,10.474,0.16,BE3 | 0.03
BE3,0.03,D90E,16,10.7835,0.15,BE3 | 0.03
BE3,0.03,D95A,16,10.633,0.12,BE3 | 0.03
BE3,0.03,D95B,16,10.246,0.11,BE3 | 0.03
BE3,0.03,D95C,16,11.175,0.14,BE3 | 0.03
BE3,0.03,D95D,16,10.992,0.14,BE3 | 0.03
BE3,0.03,D95E,16,10.016,0.15,BE3 | 0.03
BE3,0.03,D100A,16,10.631,0.11,BE3 | 0.03
BE3,0.03,D100B,16,10.495,0.14,BE3 | 0.03
BE3,0.03,D100C,16,11.095,0.13,BE3 | 0.03
BE3,0.03,D100D,16,10.441,0.11,BE3 | 0.03
BE3,0.03,D100E,16,10.5915,0.1,BE3 | 0.03
BE3,0.03,D100F,16,11.045,0.15,BE3 | 0.03
BE3,0.0,D106A,16,11.9125,0.19,BE3 | 0.0
BE3,0.0,D106B,16,11.944,0.2,BE3 | 0.0
BE3,0.0,D106C,16,10.7515,0.18,BE3 | 0.0
BE3,0.0,D106D,16,11.99,0.19,BE3 | 0.0
BE3,0.0,D106E,16,11.4725,0.19,BE3 | 0.0
BE3,0.0,D111A,16,11.5675,0.15,BE3 | 0.0
BE3,0.0,D111B,16,11.3085,0.17,BE3 | 0.0
BE3,0.0,D111C,16,11.6895,0.19,BE3 | 0.0
BE3,0.0,D111D,16,12.37,0.22,BE3 | 0.0
BE3,0.0,D111E,16,11.803,0.17,BE3 | 0.0
BE3,0.0,D116A,16,11.6455,0.15,BE3 | 0.0
BE3,0.0,D116B,16,11.595,0.18,BE3 | 0.0
BE3,0.0,D116C,16,12.0295,0.17,BE3 | 0.0
BE3,0.0,D116D,16,10.6635,0.15,BE3 | 0.0
BE3,0.0,D116E,16,12.3255,0.19,BE3 | 0.0
BE3,0.0,D121A,16,11.5335,0.18,BE3 | 0.0
BE3,0.0,D121B,16,11.406,0.16,BE3 | 0.0
BE3,0.0,D121C,16,12.173,0.19,BE3 | 0.0
BE3,0.0,D121D,16,11.453,0.18,BE3 | 0.0
BE3,0.0,D121E,16,11.531,0.17,BE3 | 0.0
BE3,0.0,D121F,16,10.638,0.15,BE3 | 0.0
uninfected,0.0,D151A,16,11.7215,0.16,uninfected | 0.0
uninfected,0.0,D151B,16,10.9225,0.18,uninfected | 0.0
uninfected,0.0,D151C,16,12.067,0.17,uninfected | 0.0
uninfected,0.0,D151D,16,11.6565,0.21,uninfected | 0.0
uninfected,0.0,D151E,16,12.28,0.16,uninfected | 0.0
uninfected,0.0,D156A,16,11.8015,0.18,uninfected | 0.0
uninfected,0.0,D156B,16,12.017,0.13,uninfected | 0.0
uninfected,0.0,D156C,16,11.9015,0.22,uninfected | 0.0
uninfected,0.0,D156D,16,10.1,0.17,uninfected | 0.0
uninfected,0.0,D156E,16,11.1365,0.18,uninfected | 0.0
uninfected,0.0,D161A,16,11.5775,0.24,uninfected | 0.0
uninfected,0.0,D161B,16,11.8955,0.11,uninfected | 0.0
uninfected,0.0,D161C,16,11.836,0.19,uninfected | 0.0
uninfected,0.0,D161D,16,11.982,0.18,uninfected | 0.0
uninfected,0.0,D161E,16,11.6,0.16,uninfected | 0.0
uninfected,0.0,D161F,16,11.822,0.15,uninfected | 0.0
uninfected,0.0,D166A,16,13.104,0.17,uninfected | 0.0
uninfected,0.0,D166B,16,11.912,0.27,uninfected | 0.0
uninfected,0.0,D166C,16,11.8065,0.17,uninfected | 0.0
uninfected,0.0,D166D,16,9.6455,0.22,uninfected | 0.0
uninfected,0.0,D166E,16,12.252,0.18,uninfected | 0.0
uninfected,0.03,D172A,16,10.7295,0.17,uninfected | 0.03
uninfected,0.03,D172B,16,11.4575,0.2,uninfected | 0.03
uninfected,0.03,D172C,16,11.1035,0.15,uninfected | 0.03
uninfected,0.03,D172D,16,11.8395,0.2,uninfected | 0.03
uninfected,0.03,D172E,16,11.4605,0.17,uninfected | 0.03
uninfected,0.03,D177A,16,11.2505,0.2,uninfected | 0.03
uninfected,0.03,D177B,16,11.101,0.17,uninfected | 0.03
uninfected,0.03,D177C,16,10.179,0.13,uninfected | 0.03
uninfected,0.03,D177D,16,10.0135,0.16,uninfected | 0.03
uninfected,0.03,D177E,16,12.098,0.2,uninfected | 0.03
uninfected,0.03,D182A,16,11.6305,0.18,uninfected | 0.03
uninfected,0.03,D182B,16,12.203,0.2,uninfected | 0.03
uninfected,0.03,D182C,16,12.2595,0.17,uninfected | 0.03
uninfected,0.03,D182D,16,12.038,0.3,uninfected | 0.03
uninfected,0.03,D182E,16,12.2895,0.2,uninfected | 0.03
uninfected,0.03,D187A,16,11.1055,0.14,uninfected | 0.03
uninfected,0.03,D187B,16,11.279,0.19,uninfected | 0.03
uninfected,0.03,D187C,16,11.1885,0.2,uninfected | 0.03
uninfected,0.03,D187D,16,11.4225,0.17,uninfected | 0.03
uninfected,0.03,D187E,16,11.7855,0.16,uninfected | 0.03
uninfected,0.03,D187F,16,11.714,0.2,uninfected | 0.03
uninfected,0.3,D193A,16,10.817,0.19,uninfected | 0.3
uninfected,0.3,D193B,16,11.4885,0.24,uninfected | 0.3
uninfected,0.3,D193C,16,10.175,0.18,uninfected | 0.3
uninfected,0.3,D193D,16,10.2795,0.13,uninfected | 0.3
uninfected,0.3,D193E,16,11.257,0.2,uninfected | 0.3
uninfected,0.3,D198A,16,10.9955,0.17,uninfected | 0.3
uninfected,0.3,D198B,16,10.38,0.16,uninfected | 0.3
uninfected,0.3,D198C,16,10.471,0.11,uninfected | 0.3
uninfected,0.3,D198D,16,9.661,0.14,uninfected | 0.3
uninfected,0.3,D198E,16,10.993,0.15,uninfected | 0.3
uninfected,0.3,D203A,16,10.721,0.14,uninfected | 0.3
uninfected,0.3,D203B,16,11.945,0.2,uninfected | 0.3
uninfected,0.3,D203C,16,10.8935,0.15,uninfected | 0.3
uninfected,0.3,D203D,16,11.975,0.13,uninfected | 0.3
uninfected,0.3,D203E,16,10.707,0.12,uninfected | 0.3
uninfected,0.3,D208A,16,11.248,0.21,uninfected | 0.3
uninfected,0.3,D208B,16,10.9025,0.14,uninfected | 0.3
uninfected,0.3,D208C,16,10.2665,0.15,uninfected | 0.3
uninfected,0.3,D208D,16,10.909,0.16,uninfected | 0.3
uninfected,0.3,D208E,16,11.96,0.21,uninfected | 0.3
uninfected,0.3,D208F,16,12.0095,0.17,uninfected | 0.3
