t_since_mm,treatment_bd,pretreatment_24D,individualID,length_mm,weight_g,bdload,treatment_combination,y_length_mm,y_weight_g
26,JEL423,0.3,D198D,11.622,0.19,77600,JEL423 | 0.3,0.8601275167536885,0.6666666666666666
26,JEL423,0.3,D198E,12.624,0.21,3260,JEL423 | 0.3,0.9342840966699848,0.7368421052631577
26,JEL423,0.3,D203A,11.7895,0.18,12320,JEL423 | 0.3,0.8725239510211332,0.6315789473684209
26,JEL423,0.3,D203B,12.2835,0.2,32280,JEL423 | 0.3,0.9090841810397464,0.7017543859649122
26,uninfected,0.3,D203C,12.703,0.21,0,uninfected | 0.3,0.9401307731304512,0.7368421052631577
26,uninfected,0.3,D203D,12.5725,0.24,0,uninfected | 0.3,0.9304726556862629,0.8421052631578946
26,JEL423,0.3,D203E,11.7655,0.19,98000,JEL423 | 0.3,0.870747745514156,0.6666666666666666
26,uninfected,0.3,D208A,13.3955,0.24,0,uninfected | 0.3,0.9913817028630214,0.8421052631578946
26,JEL423,0.3,D208B,12.416,0.2,1224,JEL423 | 0.3,0.9188903156095162,0.7017543859649122
26,uninfected,0.3,D208C,12.0665,0.18,0,uninfected | 0.3,0.8930243229141612,0.6315789473684209
26,JEL423,0.3,D208D,12.658,0.21,3288,JEL423 | 0.3,0.9368003878048691,0.7368421052631577
26,uninfected,0.3,D208E,13.946,0.22,0,uninfected | 0.3,1.0321234166793098,0.7719298245614035
26,JEL423,0.3,D208F,13.0505,0.24,7800,JEL423 | 0.3,0.9658487487002246,0.8421052631578946
